"Id,N,6,0","Notes,C,30","POINT_X,N,19,11","POINT_Y,N,19,11","X,N,19,6","Y,N,19,6","Latitude,C,25","Longitude,C,25"
0,,2240240.21643,496533.72276,-81.515096,41.02535,"-81? 30' 54.344""","41? 1' 31.259"""
0,,2241201.13767,495299.66294,-81.511664,41.021933,"-81? 30' 41.954""","41? 1' 19.086"""
0,,2241194.55602,495069.305107,-81.511697,41.021301,"-81? 30' 42.128""","41? 1' 16.781"""
0,,2241178.10189,494763.258272,-81.511769,41.020461,"-81? 30' 42.369""","41? 1' 13.661"""
0,,2243129.56182,496184.895184,-81.504639,41.024302,"-81? 30' 16.699""","41? 1' 27.488"""
0,,2237633.88209,493186.952529,-81.524677,41.016244,"-81? 31' 28.837""","41? 0' 58.480"""
0,,2235481.68176,491597.483481,-81.53254,41.011948,"-81? 31' 57.142""","41? 0' 43.012"""
0,,2235721.91207,491561.284393,-81.531671,41.011841,"-81? 31' 54.014""","41? 0' 42.628"""
0,,2235758.11116,491488.886217,-81.531542,41.011641,"-81? 31' 53.552""","41? 0' 41.909"""
0,,2235777.85612,491232.201775,-81.531481,41.010936,"-81? 31' 53.332""","41? 0' 39.370"""
0,,2235468.51846,491442.814651,-81.532593,41.011524,"-81? 31' 57.337""","41? 0' 41.485"""
0,,2235452.06433,491103.859553,-81.532667,41.010594,"-81? 31' 57.600""","41? 0' 38.138"""
0,,2235517.88085,491031.461377,-81.532431,41.010393,"-81? 31' 56.752""","41? 0' 37.416"""
0,,2235412.57441,490870.210894,-81.532819,41.009954,"-81? 31' 58.149""","41? 0' 35.834"""
0,,2235445.48267,490508.220014,-81.532714,41.008959,"-81? 31' 57.772""","41? 0' 32.254"""
0,,2235524.4625,490465.439273,-81.53243,41.008839,"-81? 31' 56.748""","41? 0' 31.822"""
0,,2235448.7735,490218.627309,-81.532714,41.008164,"-81? 31' 57.771""","41? 0' 29.392"""
0,,2235435.6102,489948.779562,-81.532773,41.007424,"-81? 31' 57.982""","41? 0' 26.727"""
0,,2235524.4625,489869.799734,-81.532454,41.007205,"-81? 31' 56.834""","41? 0' 25.937"""
0,,2235448.7735,489590.079508,-81.532739,41.006439,"-81? 31' 57.862""","41? 0' 23.181"""
0,,2235429.02854,489270.869368,-81.532824,41.005564,"-81? 31' 58.166""","41? 0' 20.030"""
0,,2235442.19185,489020.766578,-81.532786,41.004877,"-81? 31' 58.030""","41? 0' 17.557"""
